state, probability,
[40; 0; 9; 1],9.31478240402e-61,
[40; 0; 8; 2],3.8796068682e-59,
[40; 0; 7; 3],1.07723750622e-57,
[40; 0; 6; 4],2.24334710492e-56,
[40; 0; 5; 5],3.73741627385e-55,
[40; 0; 4; 6],5.18877958942e-54,
[40; 0; 3; 7],6.17464770652e-53,
[40; 0; 2; 8],6.42935191932e-52,
[40; 0; 1; 9],5.95072238284e-51,
[40; 0; 0; 10],4.95695174098e-50,
[39; 11; 0; 0],2.19625285154e-55,
[39; 10; 1; 0],5.85667427569e-56,
[39; 10; 0; 1],4.87860966779e-54,
[39; 9; 2; 0],1.56177980816e-56,
[39; 9; 1; 1],1.30096257917e-54,
[39; 9; 0; 2],5.41850913795e-53,
[39; 8; 3; 0],4.1647461586e-57,
[39; 8; 2; 1],3.46923354737e-55,
[39; 8; 1; 2],1.44493577133e-53,
[39; 8; 0; 3],4.01210498856e-52,
[39; 7; 4; 0],1.11059897656e-57,
[39; 7; 3; 1],9.25128946742e-56,
[39; 7; 2; 2],3.85316206013e-54,
[39; 7; 1; 3],1.06989466452e-52,
[39; 7; 0; 4],2.22805563709e-51,
[39; 6; 5; 0],2.96159727331e-58,
[39; 6; 4; 1],2.46701052672e-56,
[39; 6; 3; 2],1.02750988356e-54,
[39; 6; 2; 3],2.8530524411e-53,
[39; 6; 1; 4],5.9414817039e-52,
[39; 6; 0; 5],9.89850851086e-51,
[39; 5; 6; 0],7.89759273547e-59,
[39; 5; 5; 1],6.57869474344e-57,
[39; 5; 4; 2],2.74002635847e-55,
[39; 5; 3; 3],7.60813984934e-54,
[39; 5; 2; 4],1.58439512237e-52,
[39; 5; 1; 5],2.63960227178e-51,
[39; 5; 0; 6],3.66464781775e-50,
[39; 4; 7; 0],2.10602473123e-59,
[39; 4; 6; 1],1.75431859972e-57,
[39; 4; 5; 2],7.30673696206e-56,
[39; 4; 4; 3],2.02883729486e-54,
[39; 4; 3; 4],4.2250536632e-53,
[39; 4; 2; 5],7.03893939732e-52,
[39; 4; 1; 6],9.77239418888e-51,
[39; 4; 0; 7],1.16291490756e-49,
[39; 3; 8; 0],5.61606595466e-60,
[39; 3; 7; 1],4.67818293653e-58,
[39; 3; 6; 2],1.94846319152e-56,
[39; 3; 5; 3],5.41023279084e-55,
[39; 3; 4; 4],1.1266809778e-53,
[39; 3; 3; 5],1.87705050753e-52,
[39; 3; 2; 6],2.60597178589e-51,
[39; 3; 1; 7],3.10110642276e-50,
[39; 3; 0; 8],3.22902706014e-49,
[39; 2; 9; 0],1.49761758917e-60,
[39; 2; 8; 1],1.24751545079e-58,
[39; 2; 7; 2],5.19590184842e-57,
